"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"968d540e",2021-03-31,995538,23135,931270,11209385,10502335,6817045,3685290,7351,3886,2340,-3,-3,2,-4,-1,-3,-2,3,2,3,2,2,4,3,83.91,79.17,81.61,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-01,1003406,23328,936721,11278506,10805897,6951947,3853950,7357,3920,2358,-3,-3,2,-4,-1,-3,-2,3,2,3,2,2,4,3,83.91,79.17,81.61,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-02,1011485,23421,942413,11352049,10813007,6953842,3859165,7507,3969,2414,-3,-3,2,-4,-1,-3,-2,3,2,3,2,2,4,3,83.91,79.17,81.61,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-03,1019478,23524,950889,11422507,10816237,6955723,3860514,7401,4056,2460,-3,-3,2,-4,-1,-3,-2,3,2,3,2,2,4,3,83.91,79.17,81.61,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-04,1026785,23644,958400,11491602,10817371,6956388,3860983,7444,4099,2479,-3,-3,2,-4,-1,-3,-2,3,2,3,2,2,4,3,83.91,79.17,81.61,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-05,1032612,23677,965641,11537423,11102428,7036408,4066020,7573,4120,2517,-3,-3,2,-4,-1,-3,-2,4,2,3,2,2,4,3,85.47,81.94,83.39,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-06,1037780,23734,972645,11573027,11342454,7129612,4212842,8054,4229,2547,-3,-3,2,-4,-1,-3,-2,4,2,3,2,2,4,3,85.47,81.94,83.39,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-07,1043022,23796,980245,11603698,11575893,7224545,4351348,7959,4288,2620,-3,-3,2,-4,-1,-3,-2,4,2,3,2,2,4,3,85.47,81.94,83.39,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-08,1051270,23979,986285,11673902,11815604,7301351,4514253,8003,4331,2639,-3,-3,2,-4,-1,-3,-2,4,2,3,2,2,4,3,85.47,81.94,83.39,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-09,1060421,24108,991676,11751801,12034711,7372290,4662421,7966,4350,2651,-3,-3,2,-4,-1,-3,-2,4,2,3,2,2,4,3,85.47,81.94,83.39,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
"968d540e",2021-04-10,1068522,24213,998400,11825634,12060761,7383491,4677270,8054,4402,2717,-3,-3,2,-4,-1,-3,-2,4,2,3,2,2,4,3,85.47,81.94,83.39,100,1,"Chile",NA,NA,-35.6751,-71.543,18729160,"CHL","CL",152,"CLF",NA,"ChIJL68lBEHFYpYRHbkCERPhBQU","Chile","CL",NA,"CHL"
