"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"97a59c79",2021-03-31,1545269,27130,1415520,13575574,1739935,1218577,519885,7556,1553,810,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-01,1551539,27282,1425277,13855130,1797644,1244264,551921,7244,1506,786,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-02,1555399,27386,1434645,13923979,1817406,1251251,564716,6414,1423,760,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-03,1557566,27513,1437633,13969645,1831990,1254905,575649,6257,1398,722,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-04,1559503,27659,1440173,14012769,1843455,1257453,584571,6353,1379,712,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-05,1560947,27783,1451277,14080273,1853081,1259892,591769,6419,1346,706,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-06,1566556,27898,1461089,14507397,1898538,1276102,621032,7099,1395,727,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-07,1573628,28019,1469745,14800328,1944237,1299589,643260,6744,1359,700,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-08,1578941,28141,1476882,15057677,2014041,1338380,674299,6265,1315,668,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-09,1583797,28248,1484406,15242035,2083778,1377953,704483,5950,1235,625,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-10,1586020,28358,1486735,15296167,2114626,1393521,719788,5311,1214,601,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-11,1587009,28451,1488716,15356599,2134462,1403314,729843,5264,1196,600,3,2,2,4,-1,2,2,3,2,3,2,3,3,2,75.62,81.48,81.07,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-12,1590899,28535,1498251,15673817,2197865,1441606,754973,5562,1184,593,2,2,2,4,-1,0,0,3,2,3,2,3,3,2,63.12,59.26,66.79,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-13,1596011,28626,1505931,15959314,2260181,1477888,781007,5249,1153,568,2,2,2,4,-1,0,0,3,2,3,2,3,3,2,63.12,59.26,66.79,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-14,1599742,28716,1512598,16215136,2326404,1516751,808367,4945,1110,535,2,2,2,4,-1,0,0,3,2,3,2,3,3,2,63.12,59.26,66.79,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-15,1603038,28802,1518704,16460597,2399967,1564553,834128,4687,1035,518,2,2,2,4,-1,0,0,3,2,3,2,3,3,2,63.12,59.26,66.79,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-16,1606274,28868,1521185,16630597,2470325,1609247,859792,4435,1012,513,2,2,2,4,-1,0,0,3,2,3,2,3,3,2,63.12,59.26,66.79,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-17,1607821,28942,1523251,16681875,2496065,1625968,NA,4037,975,485,2,2,2,4,-1,0,0,3,2,3,2,3,3,2,63.12,59.26,66.79,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-18,1608665,29020,1524997,16748691,2514051,1638970,864776,4050,975,491,2,2,2,4,-1,0,0,3,2,3,2,3,3,2,63.12,59.26,66.79,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
"97a59c79",2021-04-19,1612025,29092,1526532,17072205,2573437,1682932,880201,4327,992,488,2,2,2,4,1,0,0,3,2,3,2,3,3,2,64.69,62.04,68.57,37.5,1,"Czech Republic",NA,NA,49.8037633,15.4749126,10629928,"CZE","CZ",203,"CZK",NA,"ChIJQ4Ld14-UC0cRb1jb03UcZvg","Czech Republic","CZ",NA,"CZE"
